student_id,student_name,class,section,gender,dob
1,Rahul,10th,A,Male,10-05-2007
2,Priya,10th,A,Female,15-07-2007
3,Arjun,10th,B,Male,22-03-2007
4,Sneha,10th,B,Female,08-09-2007
5,Ravi,10th,A,Male,11-06-2007
6,Kiran,10th,C,Female,25-08-2007
7,Meena,10th,C,Female,30-04-2007
8,Amit,10th,A,Male,20-05-2007
9,Sita,10th,B,Female,17-01-2007
10,Vikram,10th,C,Male,13-11-2007
11,Neha,10th,A,Female,07-07-2007
12,Anil,10th,A,Male,03-12-2007
13,Divya,10th,B,Female,28-02-2007
14,Raj,10th,B,Male,25-10-2007
15,Pooja,10th,C,Female,30-06-2007
16,Karthik,10th,C,Male,22-07-2007
17,Lakshmi,10th,A,Female,19-08-2007
18,Nikhil,10th,A,Male,12-04-2007
19,Geeta,10th,B,Female,05-03-2007
20,Aditya,10th,B,Male,29-09-2007
21,Manoj,10th,C,Male,23-01-2007
22,Shreya,10th,C,Female,17-11-2007
23,Deepak,10th,A,Male,02-05-2007
24,Ananya,10th,A,Female,28-07-2007
25,Suresh,10th,B,Male,16-06-2007
26,Isha,10th,B,Female,20-10-2007
27,Vinay,10th,C,Male,12-12-2007
28,Rohit,10th,C,Male,07-04-2007
29,Kavya,10th,A,Female,14-03-2007
30,Harsh,10th,B,Male,01-08-2007
